"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Avisail Garcia","TBR","530","5.8%","23.6%","0.25",".282",".332",".464",".796",".182","4.4",".340","-2.4","-1.1","0.0","73","6.5",".334","113","5760"
"Kolten Wong","STL","549","8.6%","15.1%","0.57",".285",".361",".423",".784",".138","5.9",".321","2.4","2.0","2.7","76","6.7",".334","109","12532"
"Daniel Vogelbach","SEA","558","16.5%","26.7%","0.62",".208",".341",".439",".780",".232","1.2",".232","-1.4","1.6","-0.3","76","6.2",".333","112","14130"
"Joey Votto","CIN","608","12.5%","20.2%","0.62",".261",".357",".411",".768",".150","3.8",".313","-3.0","-1.5","0.6","83","6.1",".332","98","4314"
"Christian Vazquez","BOS","521","6.3%","19.4%","0.33",".276",".320",".477",".798",".201","3.3",".305","-1.9","-2.0","-0.3","71","5.2",".331","102","9774"
"Asdrubal Cabrera","- - -","514","11.1%","20.0%","0.55",".260",".342",".441",".783",".181","3.8",".294","-5.0","0.3","0.5","70","5.1",".331","98","4962"
"Yasiel Puig","- - -","611","7.2%","21.8%","0.33",".267",".327",".458",".785",".191","4.9",".308","-1.7","0.4","0.4","82","5.5",".330","100","14225"
"Kole Calhoun","LAA","632","11.1%","25.6%","0.43",".232",".325",".467",".792",".236","3.7",".265","0.0","-1.3","0.1","85","5.4",".330","105","11200"
"Ryan McMahon","COL","539","10.4%","29.7%","0.35",".250",".329",".450",".779",".200","3.7",".323","0.4","-0.6","0.3","72","4.5",".330","89","15112"
"Andrew Benintendi","BOS","615","9.6%","22.8%","0.42",".266",".343",".431",".774",".165","5.1",".333","0.9","1.4","0.4","83","5.1",".330","100","17901"
"Vladimir Guerrero Jr.","TOR","514","8.9%","17.7%","0.51",".272",".339",".433",".772",".162","1.9",".308","-4.7","-1.2","-0.7","69","4.1",".329","106","19611"
"Eddie Rosario","MIN","590","3.7%","14.6%","0.26",".276",".300",".500",".800",".224","3.6",".273","-0.4","0.7","-0.1","79","4.4",".329","104","12155"
"Jason Heyward","CHC","589","11.5%","18.7%","0.62",".251",".343",".429",".772",".177","4.7",".281","2.9","-0.8","0.0","78","3.9",".328","100","4940"
"Wilson Ramos","NYM","524","8.4%","13.2%","0.64",".288",".351",".416",".768",".129","1.6",".310","-3.7","-2.0","-0.1","69","3.1",".327","106","1433"
"Domingo Santana","SEA","507","9.9%","32.3%","0.30",".253",".329",".441",".770",".188","3.9",".347","0.8","-0.3","0.0","67","2.8",".326","107","10348"
"Dexter Fowler","STL","574","12.9%","24.7%","0.52",".238",".346",".409",".754",".170","3.5",".294","-0.2","0.8","-0.9","75","2.9",".326","103","4062"
"Renato Nunez","BAL","599","7.3%","23.9%","0.31",".244",".311",".460",".771",".216","1.8",".272","0.1","0.7","-0.5","77","1.6",".323","99","14503"
"Evan Longoria","SFG","508","8.5%","22.0%","0.38",".254",".325",".437",".762",".183","3.6",".291","-0.2","-1.0","-0.1","65","1.0",".322","100","9368"
"Paul DeJong","STL","664","9.3%","22.4%","0.42",".233",".318",".444",".762",".211","4.3",".259","3.2","-0.2","-0.7","85","1.0",".322","101","18015"
"Adam Frazier","PIT","608","6.6%","12.3%","0.53",".278",".336",".417",".753",".139","4.8",".306","1.4","0.8","-1.5","77","0.0",".320","97","15223"
"Brandon Belt","SFG","616","13.5%","20.6%","0.65",".234",".339",".403",".742",".169","3.6",".275","-2.7","1.9","-0.8","77","-0.4",".319","98","10264"
"Alex Gordon","KCR","633","8.1%","15.8%","0.51",".266",".345",".396",".741",".129","3.2",".301","-0.1","-1.6","-0.7","79","-0.7",".319","95","5209"
"Miguel Cabrera","DET","549","8.7%","19.7%","0.44",".282",".346",".398",".744",".116","0.6",".336","-5.0","-1.0","-0.3","68","-0.7",".318","97","1744"
"Hanser Alberto","BAL","550","2.9%","9.1%","0.32",".305",".329",".422",".751",".116","3.2",".318","-0.2","-0.2","-1.3","68","-0.8",".318","95","11902"
"Amed Rosario","NYM","655","4.7%","18.9%","0.25",".287",".323",".432",".755",".144","5.6",".338","1.7","0.5","-0.9","81","-1.0",".318","101","15518"
"David Fletcher","LAA","653","8.4%","9.8%","0.86",".290",".350",".384",".734",".094","4.4",".317","-1.2","0.5","-0.1","81","-1.3",".318","96","17992"
"Dansby Swanson","ATL","545","9.4%","22.8%","0.41",".251",".325",".422",".748",".172","5.3",".300","2.9","1.5","-0.5","67","-1.4",".317","91","18314"
"Victor Robles","WSN","617","5.7%","22.7%","0.25",".255",".326",".419",".745",".165","6.6",".310","1.4","1.4","1.4","76","-1.7",".317","92","18363"
"Cesar Hernandez","PHI","667","6.7%","15.0%","0.45",".279",".333",".408",".741",".129","4.5",".313","0.4","0.5","0.6","81","-2.7",".315","91","10556"
"Colin Moran","PIT","503","6.0%","23.3%","0.26",".277",".322",".429",".751",".152","1.6",".341","-2.3","-0.4","-0.7","61","-2.1",".315","93","16909"
"Jean Segura","PHI","618","4.9%","11.8%","0.41",".280",".323",".420",".743",".141","5.4",".302","4.6","0.3","0.8","75","-2.6",".315","91","5933"
"Nick Ahmed","ARI","625","8.3%","18.1%","0.46",".254",".316",".437",".753",".183","5.5",".280","2.4","-0.6","0.4","76","-2.8",".315","91","12147"
"Jackie Bradley Jr.","BOS","567","9.9%","27.3%","0.36",".225",".317",".421",".738",".196","4.6",".281","0.2","1.6","-1.3","68","-3.1",".314","89","12984"
"Willy Adames","TBR","584","7.9%","26.2%","0.30",".254",".317",".418",".735",".164","3.2",".320","1.8","0.8","-0.4","70","-3.7",".313","99","15986"
"Eric Hosmer","SDP","667","6.0%","24.4%","0.25",".265",".310",".425",".735",".160","2.3",".323","-3.3","-0.3","-1.6","78","-6.3",".309","92","3516"
"Albert Pujols","LAA","545","7.9%","12.5%","0.63",".244",".305",".430",".734",".185","2.4",".238","-2.0","-2.7","0.3","63","-5.5",".308","90","1177"
"Adam Jones","ARI","528","5.9%","19.1%","0.31",".260",".313",".414",".728",".155","3.2",".296","-0.2","-1.5","-0.3","61","-5.4",".308","87","6368"
"Josh Reddick","HOU","550","6.5%","12.0%","0.55",".275",".319",".409",".728",".134","3.7",".288","-0.6","1.2","-0.2","63","-5.8",".308","92","3892"
"Freddy Galvis","- - -","589","4.8%","24.6%","0.19",".260",".296",".438",".734",".178","3.2",".312","0.2","-0.7","-0.3","68","-6.4",".307","89","6609"
"Randal Grichuk","TOR","628","5.6%","26.0%","0.21",".232",".280",".457",".738",".225","3.9",".266","-0.7","-2.8","-0.3","72","-7.2",".307","90","10243"
"Starlin Castro","MIA","676","4.1%","16.4%","0.25",".270",".300",".436",".736",".165","2.9",".293","-0.3","-3.1","-0.8","77","-7.8",".307","91","4579"
"Jose Iglesias","CIN","530","3.8%","13.2%","0.29",".288",".318",".407",".724",".119","3.9",".315","1.7","-1.9","-1.7","60","-6.3",".306","82","10231"
"Miguel Rojas","MIA","526","6.1%","11.8%","0.52",".284",".331",".379",".710",".095","3.7",".314","-0.3","-1.9","-0.7","59","-6.8",".305","90","7802"
"Lorenzo Cain","MIL","623","8.0%","17.0%","0.47",".260",".325",".372",".697",".112","4.2",".301","2.1","-1.5","-0.2","69","-9.5",".302","83","9077"
"Rougned Odor","TEX","581","9.0%","30.6%","0.29",".205",".283",".439",".721",".234","4.4",".244","1.5","2.6","-1.9","64","-9.2",".302","77","12282"
"Jurickson Profar","OAK","518","9.3%","14.5%","0.64",".218",".301",".410",".711",".192","5.1",".218","0.7","0.0","1.1","57","-8.3",".301","90","10815"
"Jason Kipnis","CLE","511","7.8%","17.2%","0.45",".245",".304",".410",".715",".166","3.7",".265","-0.6","0.3","0.3","56","-8.2",".301","86","9776"
"Elvis Andrus","TEX","648","5.2%","14.8%","0.35",".275",".313",".393",".707",".118","6.4",".305","2.6","-1.5","2.4","70","-11.3",".300","76","8709"
"Kevin Pillar","- - -","645","2.8%","13.8%","0.20",".259",".287",".432",".719",".173","5.6",".270","6.1","-0.5","0.4","69","-12.4",".298","84","12434"
"Leury Garcia","CHW","618","3.4%","22.5%","0.15",".279",".310",".378",".688",".099","6.1",".353","3.7","1.4","0.5","64","-13.6",".294","82","5913"
"Khris Davis","OAK","533","8.8%","27.4%","0.32",".220",".293",".387",".679",".166","1.3",".264","-1.4","-0.5","-0.3","53","-14.3",".289","81","9112"
"Yolmer Sanchez","CHW","555","7.9%","21.1%","0.38",".252",".318",".321",".638",".069","4.4",".324","2.0","1.1","-1.1","51","-18.7",".281","73","11602"
"Brandon Crawford","SFG","560","9.5%","20.9%","0.45",".228",".304",".350",".654",".122","3.2",".274","-0.8","0.4","-0.5","52","-18.9",".281","73","5343"
"Mallex Smith","SEA","566","7.4%","24.9%","0.30",".227",".300",".335",".635",".108","8.8",".302","3.1","0.4","5.0","51","-20.6",".278","74","13608"
"Orlando Arcia","MIL","546","7.9%","20.0%","0.39",".223",".283",".350",".633",".128","3.4",".253","2.5","-0.8","-0.8","45","-24.1",".269","61","13185"
